 min, max u ice = -0.69351958395419644       0.69361450162380023              333
 min, max u ice = -0.69498723338473933       0.69508241521710534              334
 min, max u ice = -0.69645253048726474       0.69654797635790355              335
 min, max u ice = -0.69791548318467977       0.69801119296920799              336
 min, max u ice = -0.69937609936671241       0.69947207294085223              337
 min, max u ice = -0.70083438689052679       0.70093062413018392              338
 min, max u ice = -0.70229035357942649       0.70238685436052462              339
 min, max u ice = -0.70374400722452402       0.70384077142309276              340
 min, max u ice = -0.70519535558437796       0.70529238307655595              341
 min, max u ice = -0.70664440638512949       0.70674169704716350              342
 min, max u ice = -0.70809116732065236       0.70818872102889840              343
 min, max u ice = -0.70953564605315178       0.70963346268414840              344
 min, max u ice = -0.71097785021190396       0.71107592964221422              345
 min, max u ice = -0.71241778739487382       0.71251612950116927              346
 min, max u ice = -0.71385546516836706       0.71395406982743004              347
 min, max u ice = -0.71529089106760069       0.71538975815639860              348
 min, max u ice = -0.71672407259546989       0.71682320199099780              349
 min, max u ice = -0.71815501722412833       0.71825440880349223              350
 min, max u ice = -0.71958373239465223       0.71968338603507120              351
 min, max u ice = -0.72101022551716620       0.72111014109597260              352
 min, max u ice = -0.72243450397141895       0.72253468136612964              353
 min, max u ice = -0.72385657510557611       0.72395701419374037              354
 min, max u ice = -0.72527644623776233       0.72537714689704180              355
 min, max u ice = -0.72669412465573424       0.72679508676390581              356
 min, max u ice = -0.72810961761742776       0.72821084105245371              357
 min, max u ice = -0.72952293234977572       0.72962441698965375              358
 min, max u ice = -0.73093407605021543       0.73103582177305770              359
 min, max u ice = -0.73234305588637305       0.73244506257040864              360
 min, max u ice = -0.73374987899659838       0.73385214652024167              361
 min, max u ice = -0.73515455248880579       0.73525708073051044              362
 min, max u ice = -0.73655708344195048       0.73665987228028595              363
 min, max u ice = -0.73795747890613073       0.73806052821985235              364
 min, max u ice = -0.73935574590142694       0.73945905556933211              365
 min, max u ice = -0.74075189141935571       0.74085546132035907              366
 min, max u ice = -0.74214592242256794       0.74224975243570324              367
 min, max u ice = -0.74353784584536675       0.74364193584985394              368
 min, max u ice = -0.74492766859258608       0.74503201846769007              369
 min, max u ice = -0.74631539754101406       0.74642000716611745              370
 min, max u ice = -0.74770103953909905       0.74780590879370534              371
 min, max u ice = -0.74908460140745892       0.74918973017125778              372
 min, max u ice = -0.75046608993777941       0.75057147809050784              373
 min, max u ice = -0.75184551189420878       0.75195115931572265              374
 min, max u ice = -0.75322287401346177       0.75332878058380359              375
 min, max u ice = -0.75459818300371773       0.75470434860297997              376
 min, max u ice = -0.75597144554599227       0.75607787005438731              377
 min, max u ice = -0.75734266829424335       0.75744935159217019              378
 min, max u ice = -0.75871185787428264       0.75881879984219225              379
 min, max u ice = -0.76007902088512747       0.76018622140359227              380
 min, max u ice = -0.76144416389910685       0.76155162284888567              381
 min, max u ice = -0.76280729346078813       0.76291501072269408              382
 min, max u ice = -0.76416841608830788       0.76427639154327565              383
 min, max u ice = -0.76552753827347808       0.76563577180262909              384
 min, max u ice = -0.76688466648072784       0.76699315796523981              385
 min, max u ice = -0.76823980714841400       0.76834855646958711              386
 min, max u ice = -0.76959296668892796       0.76970197372824856              387
 min, max u ice = -0.77094415148765127       0.77105341612666412              388
 min, max u ice = -0.77229336790424619       0.77240289002461915              389
 min, max u ice = -0.77364062227276331       0.77375040175635057              390
 min, max u ice = -0.77498592090061091       0.77509595762932648              391
 min, max u ice = -0.77632927006982599       0.77643956392570801              392
 min, max u ice = -0.77767067603718265       0.77778122690245521              393
 min, max u ice = -0.77901014503317478       0.77912095279012350              394
 min, max u ice = -0.78034768326326787       0.78045874779430291              395
 min, max u ice = -0.78168329690800820       0.78179461809572570              396
 min, max u ice = -0.78301699212201858       0.78312856984907764              397
